Apellidos, Primera entrada, Ultima entrada, Citaciones, Indice H
"Gonzalez-Gaitan, S.", 2010, 2015, 1104, 13
"Pinilla, P.", 2012, 2015, 519, 11
"Martínez-Fiorenzano", 2004, 2015, 264, 10
"Plazas, A. A.", 2014, 2016, 248, 9
"Martinez-Oliveros", 2007, 2015, 195, 9
"Trujillo-Gomez", 2011, 2015, 701, 8
"Nunez, Paul D.", 2010, 2013, 264, 8
"Munoz-Jaramillo", 2009, 2015, 236, 8
"Vera-Ciro", 2011, 2015, 261, 7
"Bueno-Sanchez", 2007, 2013, 157, 7
"Balaguera-Antolinez", 2005, 2013, 142, 7
"Ramos-Caro", 2008, 2012, 77, 7
"Pena-Ramirez", 2011, 2014, 120, 6
"Martinez-Galarza", 2008, 2014, 98, 5
"Ramirez-Agudelo", 2013, 2015, 177, 4
"Soler, J. D.", 2009, 2013, 59, 4
"Cruz-Diaz", 2012, 2014, 46, 4
"Copete", 2010, 2012, 242, 3
"Bernal, C. G.", 2010, 2014, 18, 2
